Id, Label
1, 1
2, 1
3, 0
4, 1
5, 1
6, 1
7, 1
8, 1
9, 0
10, 0
11, 0
12, 1
13, 1
14, 0
15, 1
16, 1
17, 0
18, 0
19, 1
20, 0
21, 1
22, 0
23, 0
24, 1
25, 1
26, 1
27, 1
28, 0
29, 1
30, 0
31, 1
32, 0
33, 0
34, 0
35, 0
36, 0
37, 1
38, 0
39, 1
40, 0
41, 0
42, 1
43, 1
44, 1
45, 0
46, 0
47, 1
48, 1
49, 1
50, 0
51, 0
52, 0
53, 1
54, 0
55, 0
56, 1
57, 0
58, 1
59, 1
60, 1
61, 1
62, 0
63, 0
64, 1
65, 0
66, 0
67, 1
68, 1
69, 0
70, 0
71, 0
72, 1
73, 0
74, 0
75, 0
76, 0
77, 1
78, 1
79, 0
80, 1
81, 1
82, 0
83, 0
84, 0
85, 0
86, 0
87, 1
88, 0
89, 0
90, 1
91, 0
92, 1
93, 1
94, 1
95, 0
96, 1
97, 1
98, 0
99, 1
100, 1
101, 0
102, 0
103, 1
104, 1
105, 0
106, 0
107, 0
108, 0
109, 1
110, 1
111, 0
112, 1
113, 1
114, 0
115, 1
116, 1
117, 1
118, 1
119, 0
120, 0
