Id, Label
1, 1
2, 0
3, 0
4, 0
5, 0
6, 0
7, 1
8, 0
9, 0
10, 1
11, 1
12, 1
13, 1
14, 0
15, 0
16, 1
17, 1
18, 0
19, 1
20, 1
21, 1
22, 1
23, 1
24, 1
25, 1
26, 1
27, 1
28, 1
29, 0
30, 0
31, 0
32, 1
33, 0
34, 0
35, 0
36, 1
37, 1
38, 1
39, 0
40, 1
41, 1
42, 1
43, 0
44, 0
45, 1
46, 0
47, 1
48, 1
49, 1
50, 1
51, 0
52, 0
53, 0
54, 1
55, 1
56, 1
57, 1
58, 1
59, 1
60, 0
61, 0
62, 0
63, 1
64, 1
65, 0
66, 0
67, 1
68, 0
69, 0
70, 0
71, 0
72, 0
73, 0
74, 1
75, 1
76, 0
77, 1
78, 1
79, 0
80, 0
81, 0
82, 0
83, 0
84, 0
85, 0
86, 1
87, 1
88, 0
89, 0
90, 0
91, 1
92, 1
93, 1
94, 1
95, 1
96, 0
97, 0
98, 0
99, 1
100, 0
101, 1
102, 1
103, 1
104, 1
105, 0
106, 1
107, 0
108, 1
109, 1
110, 1
111, 1
112, 1
113, 1
114, 1
115, 1
116, 0
117, 0
118, 1
119, 0
120, 1
121, 1
122, 1
123, 1
124, 0
125, 0
126, 0
127, 1
128, 0
129, 1
130, 0
131, 1
132, 1
133, 1
134, 1
135, 1
136, 0
137, 1
138, 1
139, 1
140, 1
141, 0
142, 0
143, 1
144, 1
145, 1
146, 0
147, 1
148, 1
149, 1
150, 1
151, 1
152, 1
153, 1
154, 0
155, 0
156, 1
157, 1
158, 0
159, 1
160, 1
161, 0
162, 0
163, 1
164, 0
165, 1
166, 1
167, 0
168, 1
169, 0
170, 0
171, 1
172, 1
173, 1
174, 1
175, 1
176, 0
177, 1
178, 1
179, 0
180, 0
181, 0
182, 1
183, 0
184, 0
185, 0
186, 1
187, 0
188, 1
189, 1
190, 0
191, 0
192, 0
193, 1
194, 0
195, 0
196, 1
197, 0
198, 1
199, 1
200, 1
201, 1
202, 1
203, 1
204, 1
205, 1
206, 1
207, 1
208, 1
209, 1
210, 1
211, 1
212, 1
213, 1
214, 1
215, 0
216, 1
217, 1
218, 1
219, 1
220, 1
221, 0
222, 1
223, 1
224, 1
225, 1
226, 1
227, 0
228, 1
229, 0
230, 0
231, 1
232, 1
233, 0
234, 0
235, 0
236, 1
237, 1
238, 1
239, 1
240, 1
241, 0
242, 1
243, 0
244, 1
245, 0
246, 1
247, 0
248, 0
249, 0
250, 1
251, 1
252, 1
253, 1
254, 1
255, 1
256, 1
257, 1
258, 0
259, 0
260, 0
261, 0
262, 1
263, 1
264, 1
265, 0
266, 1
267, 1
268, 0
269, 0
270, 1
271, 0
272, 0
273, 1
274, 1
275, 1
276, 1
277, 0
278, 0
279, 0
280, 1
281, 0
282, 0
283, 1
284, 1
285, 1
286, 1
287, 1
288, 1
289, 1
290, 0
291, 0
292, 1
293, 1
294, 1
295, 1
296, 1
297, 1
298, 1
299, 1
300, 1
301, 1
302, 1
303, 0
304, 1
305, 1
306, 0
307, 0
308, 0
309, 1
310, 1
311, 0
312, 1
313, 1
314, 0
315, 1
316, 1
317, 1
318, 1
319, 0
320, 0
321, 1
322, 0
323, 0
324, 0
325, 1
326, 1
327, 0
328, 0
329, 1
330, 0
331, 1
332, 1
333, 0
334, 1
335, 1
336, 0
337, 0
338, 1
339, 1
340, 1
341, 0
342, 0
343, 0
344, 1
345, 0
346, 1
347, 1
348, 1
349, 1
350, 1
351, 0
352, 1
353, 1
354, 1
355, 0
356, 0
357, 1
358, 0
359, 0
360, 1
361, 0
362, 0
363, 0
364, 1
365, 1
366, 0
367, 0
368, 1
369, 0
370, 1
371, 0
372, 1
373, 1
374, 0
375, 1
376, 0
377, 1
378, 1
379, 1
380, 1
381, 1
382, 1
383, 1
384, 1
385, 1
386, 1
387, 1
388, 1
389, 1
390, 0
391, 1
392, 0
393, 0
394, 0
395, 0
396, 0
397, 0
398, 0
399, 0
400, 0
401, 0
402, 0
403, 0
404, 1
405, 1
406, 1
407, 1
408, 1
409, 0
410, 1
411, 1
412, 1
413, 1
414, 1
415, 1
416, 1
417, 1
418, 1
419, 1
420, 1
421, 0
422, 1
423, 1
424, 1
425, 0
426, 1
427, 1
428, 1
429, 0
430, 1
431, 1
432, 1
433, 1
434, 1
435, 0
436, 1
437, 1
438, 1
439, 1
440, 1
441, 1
442, 0
443, 0
444, 0
445, 0
446, 1
447, 1
448, 0
449, 0
450, 1
451, 1
452, 0
453, 0
454, 0
455, 0
456, 1
457, 0
458, 1
459, 1
460, 0
461, 1
462, 1
463, 1
464, 0
465, 0
466, 0
467, 1
468, 1
469, 1
470, 0
471, 0
472, 0
473, 1
474, 0
475, 0
476, 1
477, 1
478, 0
479, 0
480, 1
481, 0
482, 1
483, 0
484, 0
485, 0
486, 0
487, 0
488, 1
489, 1
490, 0
491, 0
492, 1
493, 0
494, 0
495, 0
496, 1
497, 1
498, 1
499, 0
500, 0
501, 1
502, 1
503, 0
504, 1
505, 0
506, 0
507, 1
508, 1
509, 1
510, 1
511, 1
512, 1
513, 1
514, 1
515, 0
516, 1
517, 0
518, 0
519, 0
520, 0
521, 0
522, 0
523, 0
524, 0
525, 1
526, 0
527, 1
528, 0
529, 0
530, 1
531, 0
532, 1
533, 0
534, 0
535, 0
536, 1
537, 1
538, 1
539, 1
540, 0
541, 1
542, 1
543, 0
544, 1
545, 1
546, 1
547, 1
548, 0
549, 0
550, 1
551, 1
552, 1
553, 0
554, 0
555, 1
556, 1
557, 1
558, 1
559, 1
560, 1
561, 0
562, 0
563, 1
564, 1
565, 0
566, 1
567, 0
568, 0
569, 0
570, 0
571, 0
572, 1
573, 1
574, 0
575, 1
576, 1
577, 1
578, 0
579, 0
580, 1
581, 0
582, 1
583, 0
584, 0
585, 1
586, 0
587, 1
588, 0
589, 0
590, 0
591, 0
592, 0
593, 1
594, 0
595, 1
596, 0
597, 1
598, 1
599, 1
600, 0
601, 1
602, 0
603, 1
604, 1
605, 0
606, 1
607, 1
608, 1
609, 1
610, 1
611, 1
612, 1
613, 1
614, 0
615, 1
616, 1
617, 1
618, 1
619, 1
620, 1
621, 0
622, 1
623, 0
624, 1
625, 1
626, 1
627, 1
628, 1
629, 1
630, 1
631, 1
632, 0
633, 0
634, 1
635, 1
636, 0
637, 0
638, 1
639, 1
640, 1
641, 1
642, 0
643, 0
644, 1
645, 1
646, 1
647, 0
648, 1
649, 0
650, 1
651, 1
652, 0
653, 0
654, 1
655, 0
656, 0
657, 1
658, 0
659, 1
660, 0
661, 1
662, 1
663, 1
664, 0
665, 0
666, 1
667, 1
668, 1
669, 1
670, 1
671, 1
672, 0
673, 0
674, 1
675, 1
