Id, Label
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 1
11, 0
12, 1
13, 1
14, 1
15, 1
16, 0
17, 0
18, 1
19, 0
20, 1
21, 1
22, 1
23, 1
24, 0
25, 0
26, 1
27, 0
28, 1
29, 0
30, 1
31, 0
32, 0
33, 1
34, 0
35, 0
36, 1
37, 0
38, 0
39, 0
40, 1
41, 0
42, 1
43, 1
44, 0
45, 0
46, 1
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 1
54, 0
55, 1
56, 0
57, 1
58, 1
59, 0
60, 0
61, 0
62, 1
63, 1
64, 0
65, 1
66, 0
67, 0
68, 1
69, 0
70, 0
71, 1
72, 0
73, 1
74, 1
75, 1
76, 0
77, 0
78, 0
79, 1
80, 1
81, 0
82, 0
83, 0
84, 0
85, 1
86, 0
87, 1
88, 1
89, 1
90, 1
91, 0
92, 0
93, 0
94, 1
95, 1
96, 0
97, 0
98, 0
99, 0
100, 0
101, 0
102, 0
103, 0
104, 1
105, 1
106, 1
107, 1
108, 0
109, 0
110, 0
111, 1
112, 0
113, 1
114, 1
115, 1
116, 1
117, 0
118, 0
119, 1
120, 1
